Stock Name,Price
ZAFKD,221.98
FNPZE,898.56
TTNJJ,957.5
NQDCG,362.11
EWRZS,529.45
AEQJY,486.37
GYVXO,62.01
ERBDQ,433.33
PBROY,373.12
VGYDF,558.6
YPGQX,771.42
XQXZB,928.94
ZMXBN,642.96
JNLLR,420.87
GQYNY,770.4
AUFOH,471.67
EOULO,570.72
PRQFF,695.39
WUIGT,121.88
EVTGA,577.29
AWYIG,610.56
ZKGQD,767.03
WTEAT,763.65
VZMOT,463.21
TDBFD,212.15
IPOYF,930.44
BBSBE,529.82
LTNQO,107.71
CWJKN,168.81
OWFDN,133.1
LGVGY,722.95
NBJEP,700.49
LRROC,837.09
KIZHA,795.11
XKCUL,316.22
EKRII,776.88
PUCMI,634.65
BOQTD,662.64
HORZY,443.12
SKUSE,485.96
LQVEU,958.75
TXGRJ,123.29
DBNXJ,40.74
LTMKU,741.43
ADFGA,182.61
XNAGM,354.34
TOBSR,94.45
KUHCU,534.11
CKPMK,626.11
PMVEQ,494.3
VXFWP,738.53
DTYPE,468.94
KQQRC,26.86
MCVLT,305.75
SRQLL,975.25
RDBUE,503.75
NGCWX,889.41
HRVOP,977.29
OTTZA,964.99
VCAXB,96.31
TMYGU,97.09
DRFJW,500.96
FMFJN,132.76
WDBLC,128.15
GDQBC,113.81
OQQJF,367.38
IRGNA,106.75
WJMZJ,909.46
FONJW,977.72
CTVEE,947.77
IXXRR,491.52
RJAGE,21.02
SFEVQ,653.96
SYAPS,973.11
NYACR,844.37
EUKMX,569.14
STJJT,112.39
WSNJB,842.32
ILFTK,167.13
YVVRL,328.25
TGOEQ,676.94
HVUPM,821.87
NHFTK,892.47
TSVEG,687.42
SAJYL,696.2
PAJLP,533.48
MRIPL,380.28
CIJJS,498.6
LMJXQ,636.35
NGCQE,526.84
QFHHT,769.53
VZCQN,47.25
BNZHG,172.26
OXUZJ,925.33
KVHHS,119.83
JHXEF,683.29
ZGXXT,610.93
CAMPW,656.48
AAOBA,778.06
LVJYD,492.34
YLIXD,869.02
OHJHE,743.43
QXNJY,521.35
LQINN,915.47
NNIYT,706.19
HSFPA,900.45
ZROTR,652.26
DEFFY,808.35
SUNTE,123.88
CYBPU,608.18
RUPTB,287.3
RPBPI,154.95
ZJUKY,108.19
XQEFL,520.2
MFNTI,359.6
DHYIC,566.25
ADZHB,772.2
UNBHS,620.75
VXTGE,854.53
BDNOY,357.28
HDTSH,676.08
IQDRM,687.23
NYVPW,883.09
HVGDT,958.14
RDFUS,350.24
BXVXN,429.92
THPEP,542.48
JBYBW,953.37
WJKHI,894.72
GTYBT,294.17
VKBTV,503.69
OYSZF,161.69
ZFIZJ,147.35
ROZNU,649.53
GTHDI,557.91
EHJSC,825.21
JTFZA,252.89
TWUDQ,609.94
FEJCK,916.53
IIDSV,677.61
SZUPG,587.55
GXNHA,524.34
OGJGI,971.8
ANUQV,385.73
FWIYU,333.0
UCXDU,800.17
IQBPN,932.72
WDCAL,245.54
PBNEJ,789.26
LHDAX,134.82
QAQCZ,311.43
XAWVN,729.84
RMSFQ,634.81
MQOZK,524.17
ZOHWP,264.49
QMUVZ,382.1
OZZDG,167.53
NEIHK,635.26
EYYAV,232.54
UGFPI,639.05
OZCPW,732.54
TXEVE,432.39
WLYAH,264.33
DQIIQ,916.23
TGEPR,450.51
FTGCD,800.56
HRQKL,996.6
TCZTO,807.94
FTDEX,861.11
XFPUT,587.27
AWDRC,155.95
YNSDV,573.61
ZMUZU,476.97
WYWUW,888.0
HNJRT,908.33
FJXKJ,690.13
NBTYE,95.51
AIVVX,159.1
XUVCF,559.33
AIWIJ,611.73
CNCAE,164.25
UKTWF,740.63
JRHMH,593.52
WZDDH,751.14
KJSCR,380.72
YQOTG,245.15
AKFAU,879.11
FSECO,511.16
PEPQS,816.41
LEBHC,371.04
BYYFX,926.23
XLABB,12.93
TSMDQ,739.73
PUBBC,169.79
XAGPW,171.05
ZAECI,515.73
JZKBW,987.92
FCYBZ,611.23
PMPHL,849.13
VYQAR,580.26
FLGYV,431.07
KPMVD,625.95
ZFSFK,98.7
RHWMR,770.85
BEYHS,253.84
GYQTS,581.09
ZNHAK,462.98
DEXDC,367.23
XLRRX,929.27
MEUTA,591.14
ANXQT,770.58
CNVNZ,272.04
TEGSG,113.4
DCSDI,219.72
PXCRY,731.74
JAWTX,253.09
KTMRO,317.06
PGEPF,70.52
WFNXL,859.06
WAVLK,66.2
APRMA,994.32
PNHIQ,696.55
NVFMV,660.64
NBBLO,675.17
GCDLQ,263.07
LGOML,487.35
DBPJG,68.68
VMLIS,919.08
HAGYU,362.15
SYVKZ,310.65
XVAWG,97.03
KUEKK,819.49
GFLUP,796.08
NKKVL,485.38
HDBMO,121.99
AFANT,875.6
XDJDN,355.88
IVAHJ,690.46
GFSBB,922.09
BLABG,874.75
UGNHZ,682.45
SGQDR,946.21
ZAGXE,693.06
OYTGX,499.14
JUOJF,302.32
IRPKL,245.68
BOFNE,450.78
THHGK,431.11
ERDBA,916.3
YHTBC,520.28
FGZWX,83.4
CNVYM,531.02
RZYQW,561.97
XWIMC,420.4
KXART,673.55
XFKLM,955.4
IVZGA,773.34
YUIXL,526.85
WFOPA,215.47
YGPKS,645.14
WLPMX,977.58
OLKSO,568.02
OXQDF,273.52
LNQZP,615.24
NHKHY,910.34
TXRWK,480.14
MGRJM,708.29
XZLQE,203.84
YMKCB,246.98
SMKDV,77.42
EEOYV,473.29
ZPDHI,37.79
FVEYH,80.23
SIVFQ,536.06
UOMVL,811.98
FSEPC,726.87
AWKNG,314.2
FERSU,440.85
PSNNH,591.24
ZRKUC,191.47
FKWPV,424.42
JMFJU,868.39
FJBDP,509.77
PAHDG,841.68
SSYIU,651.5
URQBJ,255.97
VVDZA,66.29
LNOTN,934.83
RGXPO,642.41
XCDSF,511.85
ZJSHN,158.92
CCRVX,776.23
ERDVW,352.7
ONMAR,535.87
DYKSL,552.72
KZGKX,861.6
YMAHT,884.35
UUDSC,507.6
AAIJJ,63.09
PBXKB,739.16
FZIFO,975.99
IZSNO,689.79
QEKFK,664.89
JFGDS,251.02
OKRYL,226.98
IOXDJ,558.56
BZSAC,185.63
HCMDE,727.64
SHMRF,129.29
TXBNB,676.63
YJGTI,295.95
KQEQS,812.48
KLACU,968.81
QRIAF,658.26
MNMBF,753.37
QGWCK,169.97
UIENG,25.32
WEADD,692.07
TGIIU,756.24
ZZNXH,652.37
QXWRS,395.13
DYYUG,636.23
UWDRB,156.36
HJYTB,501.31
RTMKI,580.79
DIXPI,677.97
XHQMD,152.16
TYQTW,370.41
TUDLE,371.26
ZLADM,172.86
VVYIB,470.99
LKTXZ,673.52
WXGSH,443.45
WSTTG,788.81
XOLMX,701.83
HMCGO,42.84
MRVKR,716.63
IXTTP,991.11
VNZRX,691.1
HYHUS,197.75
QGWLO,533.97
ZWTFE,14.47
DHLOY,95.36
XWWXD,720.09
OLHCH,547.47
FUSVN,963.51
PJZAW,999.71
EAJLI,470.65
QRAOQ,360.06
WFGJK,418.96
RYJQV,450.95
FYHZE,711.16
HOJGE,848.1
FPGXT,534.24
GVNQU,786.09
UHSLX,620.25
NERGI,587.64
EARTJ,593.97
IXBQO,989.36
UPFBI,613.2
EIENI,652.66
TEXAQ,216.63
SVIJK,379.75
JCVJC,159.37
MINGK,744.79
TZLCZ,321.97
CKZRS,897.86
RWJGL,644.23
UHZWO,164.91
ANECI,997.32
FELGD,507.66
RASCQ,132.53
XGARA,97.52
FTZXN,726.24
EPCFL,916.92
FGVUW,993.38
OIUZS,525.59
WCYOR,703.27
OJKVM,724.62
LTBRP,796.46
WEUTU,526.07
BFKBW,665.03
AEMFU,705.19
WRCLS,723.67
HIDBH,485.4
KYLII,815.97
DLDZZ,731.6
PPFSM,702.09
VZCPR,531.68
NVQUK,877.65
LOQVR,608.25
VUBTY,438.7
WHOVF,311.57
XAJGO,42.22
FJYGN,571.97
XDXBK,244.94
THFGK,956.87
LHMJQ,745.71
WGPGA,799.54
USTZO,443.11
IPCVT,192.44
YCDVW,876.68
HYNXQ,666.19
NXTKG,638.64
WWUXC,714.06
ACHLT,859.79
WKUFP,54.33
PWDLV,95.69
ATKUI,591.86
XLNAY,836.36
NBMWL,10.08
NXSLK,188.13
RGTNB,63.48
LPGEZ,701.99
PJIVO,188.91
XOHGT,681.74
FKOLO,988.66
RAHLQ,427.29
LPRZW,218.36
XFXAE,493.63
ATHOQ,690.57
BZZIW,136.97
UGAHX,61.9
NORUO,379.87
LKNEH,719.29
FNAHC,984.03
GJYGC,979.89
SCTRD,502.99
VMYYT,390.87
OSHOH,201.14
VFQNF,408.69
VNASK,595.12
NVCBH,478.22
RGCIM,567.72
VJSCM,469.45
WZYYQ,764.09
JRYNA,435.98
IEOYF,956.82
DYGTN,189.74
APNGS,502.85
CCNNM,665.82
TESLA,601.75
HFRBW,761.21
GWFKF,757.33
NVATE,164.83
RDBOR,175.92
EMZTI,230.69
TEQSF,446.92
KOEVO,279.78
ERCYZ,22.54
EKSBF,972.53
MBIVH,655.45
FUVDN,613.67
HLQCB,434.96
EHHHY,872.11
CCPTW,988.79
IBXOT,16.3
DWBZZ,507.83
SXCBP,792.79
NNWLQ,639.98
OWQPW,443.59
LZMAI,770.13
ICMRX,256.86
FOMUZ,919.65
YWDFP,891.8
ASDXU,996.6
XASLX,354.14
FNRNN,272.48
OMHTZ,999.33
JJYYF,902.87
TMKIK,71.18
MIACC,662.58
